,User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag,Event_Sequence,Date,DayOfWeek,Hour,WeekNumnber
0,USR00001,SES00001,Browse,2025-10-28 07:33:50,Desktop,West,Organic,Home,0.0,Yes,1,2025-10-28,Tuesday,7,44
1,USR00001,SES00001,Add to Cart,2025-10-28 07:36:50,Tablet,East,Social Media,Beauty,0.0,Yes,2,2025-10-28,Tuesday,7,44
2,USR00001,SES00001,Checkout,2025-10-28 07:40:50,Mobile,West,Email,Beauty,0.0,Yes,3,2025-10-28,Tuesday,7,44
3,USR00002,SES00002,Browse,2025-10-19 09:15:10,Desktop,East,Email,Electronics,0.0,No,1,2025-10-19,Sunday,9,42
4,USR00002,SES00002,Add to Cart,2025-10-19 09:18:10,Mobile,West,Social Media,Fashion,0.0,No,2,2025-10-19,Sunday,9,42
5,USR00002,SES00002,Checkout,2025-10-19 09:23:10,Desktop,North,Social Media,Fashion,0.0,No,3,2025-10-19,Sunday,9,42
6,USR00002,SES00002,Purchase,2025-10-19 09:27:10,Mobile,North,Google Ads,Sports,448.18,No,4,2025-10-19,Sunday,9,42
7,USR00003,SES00003,Browse,2025-10-12 02:19:00,Desktop,East,Google Ads,Beauty,0.0,No,1,2025-10-12,Sunday,2,41
8,USR00003,SES00003,Add to Cart,2025-10-12 02:22:00,Tablet,South,Social Media,Beauty,0.0,No,2,2025-10-12,Sunday,2,41
9,USR00003,SES00003,Checkout,2025-10-12 02:26:00,Desktop,West,Google Ads,Sports,0.0,No,3,2025-10-12,Sunday,2,41
10,USR00003,SES00003,Purchase,2025-10-12 02:29:00,Mobile,North,Social Media,Beauty,1437.19,No,4,2025-10-12,Sunday,2,41
11,USR00004,SES00004,Browse,2025-10-05 17:55:48,Tablet,West,Social Media,Home,0.0,Yes,1,2025-10-05,Sunday,17,40
12,USR00005,SES00005,Browse,2025-10-19 12:35:49,Tablet,West,Google Ads,Electronics,0.0,Yes,1,2025-10-19,Sunday,12,42
13,USR00005,SES00005,Add to Cart,2025-10-19 12:37:49,Desktop,East,Google Ads,Electronics,0.0,Yes,2,2025-10-19,Sunday,12,42
14,USR00006,SES00006,Browse,2025-10-06 13:20:53,Tablet,North,Email,Beauty,0.0,Yes,1,2025-10-06,Monday,13,41
15,USR00007,SES00007,Browse,2025-10-20 15:23:11,Mobile,South,Google Ads,Home,0.0,Yes,1,2025-10-20,Monday,15,43
16,USR00008,SES00008,Browse,2025-10-13 12:59:29,Desktop,West,Google Ads,Beauty,0.0,No,1,2025-10-13,Monday,12,42
17,USR00008,SES00008,Add to Cart,2025-10-13 13:02:29,Desktop,East,Email,Fashion,0.0,No,2,2025-10-13,Monday,13,42
18,USR00008,SES00008,Checkout,2025-10-13 13:07:29,Tablet,West,Organic,Electronics,0.0,No,3,2025-10-13,Monday,13,42
19,USR00008,SES00008,Purchase,2025-10-13 13:10:29,Desktop,East,Social Media,Home,304.3,No,4,2025-10-13,Monday,13,42
20,USR00009,SES00009,Browse,2025-10-17 10:27:10,Tablet,South,Organic,Fashion,0.0,Yes,1,2025-10-17,Friday,10,42
21,USR00009,SES00009,Add to Cart,2025-10-17 10:30:10,Mobile,West,Social Media,Electronics,0.0,Yes,2,2025-10-17,Friday,10,42
22,USR00010,SES00010,Browse,2025-10-30 17:23:31,Desktop,West,Email,Sports,0.0,Yes,1,2025-10-30,Thursday,17,44
23,USR00011,SES00011,Browse,2025-10-23 13:33:44,Tablet,South,Social Media,Fashion,0.0,Yes,1,2025-10-23,Thursday,13,43
24,USR00011,SES00011,Add to Cart,2025-10-23 13:35:44,Tablet,South,Email,Beauty,0.0,Yes,2,2025-10-23,Thursday,13,43
25,USR00011,SES00011,Checkout,2025-10-23 13:39:44,Tablet,South,Email,Beauty,0.0,Yes,3,2025-10-23,Thursday,13,43
26,USR00012,SES00012,Browse,2025-10-30 17:47:53,Desktop,North,Social Media,Beauty,0.0,Yes,1,2025-10-30,Thursday,17,44
27,USR00012,SES00012,Add to Cart,2025-10-30 17:49:53,Tablet,West,Email,Beauty,0.0,Yes,2,2025-10-30,Thursday,17,44
28,USR00013,SES00013,Browse,2025-10-24 09:26:53,Tablet,East,Social Media,Sports,0.0,No,1,2025-10-24,Friday,9,43
29,USR00013,SES00013,Add to Cart,2025-10-24 09:30:53,Desktop,East,Organic,Beauty,0.0,No,2,2025-10-24,Friday,9,43
30,USR00013,SES00013,Checkout,2025-10-24 09:35:53,Desktop,East,Social Media,Sports,0.0,No,3,2025-10-24,Friday,9,43
31,USR00013,SES00013,Purchase,2025-10-24 09:40:53,Desktop,South,Email,Home,912.3,No,4,2025-10-24,Friday,9,43
32,USR00014,SES00014,Browse,2025-10-30 17:13:50,Tablet,South,Google Ads,Fashion,0.0,No,1,2025-10-30,Thursday,17,44
33,USR00014,SES00014,Add to Cart,2025-10-30 17:18:50,Desktop,West,Google Ads,Home,0.0,No,2,2025-10-30,Thursday,17,44
34,USR00014,SES00014,Checkout,2025-10-30 17:23:50,Desktop,North,Social Media,Home,0.0,No,3,2025-10-30,Thursday,17,44
35,USR00014,SES00014,Purchase,2025-10-30 17:25:50,Tablet,North,Social Media,Home,948.09,No,4,2025-10-30,Thursday,17,44
36,USR00015,SES00015,Browse,2025-10-13 22:58:27,Mobile,West,Google Ads,Beauty,0.0,No,1,2025-10-13,Monday,22,42
37,USR00015,SES00015,Add to Cart,2025-10-13 23:02:27,Mobile,East,Social Media,Beauty,0.0,No,2,2025-10-13,Monday,23,42
38,USR00015,SES00015,Checkout,2025-10-13 23:06:27,Desktop,East,Email,Sports,0.0,No,3,2025-10-13,Monday,23,42
39,USR00015,SES00015,Purchase,2025-10-13 23:10:27,Mobile,East,Social Media,Electronics,313.31,No,4,2025-10-13,Monday,23,42
